实体,实体类型
γ-氨基丁酸,营养元素
丙氨酸 ,营养元素
丝氨酸 ,营养元素
亮氨酸 ,营养元素
儿茶素,营养元素
含氮化合物,营养元素
天冬氨酸 ,营养元素
天冬酰胺 ,营养元素
异亮氨酸 ,营养元素
氨基酸,营养元素
甘氨酸 ,营养元素
精氨酸,营养元素
组氨酸,营养元素
缬氨酸 ,营养元素
脯氨酸 ,营养元素
苏氨酸 ,营养元素
苯丙氨酸 ,营养元素
茶氨酸 ,营养元素
蛋氨酸 ,营养元素
蛋白质,营养元素
谷氨酰胺 ,营养元素
谷氨酸 ,营养元素
赖氨酸 ,营养元素
酪氨酸 ,营养元素
氮,营养元素
磷,营养元素
钾,营养元素
茶多酚,营养元素
可溶性糖,营养元素
可溶性蛋白,营养元素
游离脂肪酸,营养元素
咖啡碱,营养元素
水浸出物,营养元素
茶氨酸,营养元素
醇,营养元素
酚氨比,营养元素
有机硒含量,营养元素
茶叶无机硒含量,营养元素
NH+ 4 -N,营养元素
咖啡因,营养元素
叶黄酮（醇）,营养元素
酚酸,营养元素
氨酚比,营养元素
挥发性苷,营养元素
总风味化合物,营养元素
茶碱含量,营养元素
咖啡碱含量,营养元素
素咖啡碱,营养元素
乙醇,营养元素
水提取物含量,营养元素
叶绿素,营养元素
维生素,营养元素
多酚类物,营养元素
总黄酮类化合物,营养元素
黄酮醇苷,营养元素
天冬氨酸,营养元素
总氨基酸,营养元素
总酒精含量,营养元素
水杨酸甲酯,营养元素
芳樟醇氧化物,营养元素
苯乙醇,营养元素
谷氨酰胺,营养元素
谷氨酸,营养元素
酮,营养元素
酸,营养元素
醛,营养元素
香叶醇,营养元素
萜烯醇,营养元素
酚氨比值,营养元素
脂肪醇,营养元素
黄酮类（醇类）,营养元素
多酚类物质,营养元素
糖类物质,营养元素
纤维素,营养元素
 ECG ,营养元素
棕榈酸,营养元素
苯甲酸,营养元素
d -木糖和糖醇,营养元素
d -苏糖醇,营养元素
l -二糖醇,营养元素
丙氨酸,营养元素
丝氨酸,营养元素
利比醇,营养元素
尿囊酸,营养元素
油酸,营养元素
硬脂酰肉碱,营养元素
糖,营养元素
糖醇,营养元素
脯氨酸,营养元素
苏氨酸,营养元素
苯丙氨酸,营养元素
茉莉内酯,营养元素
蛋氨酸,营养元素
麦芽糖二糖,营养元素
黄嘌呤酸,营养元素
鼠李糖,营养元素
多酚,营养元素
犬尿酸,营养元素
苦黄酮,营养元素
粗纤维,营养元素
粗纤维含量,营养元素
赖氨酸,营养元素
d -葡萄糖- 6p,营养元素
蔗糖,营养元素
淀粉,营养元素
碳水化合物,营养元素
丙氨酸 ,营养元素
丝氨酸 ,营养元素
亮氨酸 ,营养元素
天冬氨酸 ,营养元素
天冬酰胺 ,营养元素
异亮氨酸 ,营养元素
甘氨酸 ,营养元素
组氨酸,营养元素
缬氨酸 ,营养元素
脯氨酸 ,营养元素
苏氨酸 ,营养元素
苯丙氨酸 ,营养元素
茶氨酸 ,营养元素
蛋氨酸 ,营养元素
谷氨酰胺 ,营养元素
谷氨酸 ,营养元素
赖氨酸 ,营养元素
酪氨酸 ,营养元素
