头实体,关系,尾实体,依据,文献,品种,关系数量
1：1 000倍叶面肥 1,促进,氨基酸,同时可以提高茶叶氨基酸含量，而茶多酚含量变化不大,喷施叶面肥对春茶产量及品质的影响,春茶,1
1：1 000倍叶面肥 1,无影响,茶多酚,同时可以提高茶叶氨基酸含量，而茶多酚含量变化不大,喷施叶面肥对春茶产量及品质的影响,春茶,1
1：1 000倍叶面肥 1,促进,氮,此外，在采摘前中期，施用叶面肥 1 和叶面肥 2 可适当促进茶树对氮、磷、钾的吸收。,喷施叶面肥对春茶产量及品质的影响,春茶,1
1：1 000倍叶面肥 1,促进,钾,此外，在采摘前中期，施用叶面肥 1 和叶面肥 6 可适当促进茶树对氮、磷、钾的吸收。,喷施叶面肥对春茶产量及品质的影响,春茶,1
1：1 000倍叶面肥 1,促进,磷,此外，在采摘前中期，施用叶面肥 1 和叶面肥 4 可适当促进茶树对氮、磷、钾的吸收。,喷施叶面肥对春茶产量及品质的影响,春茶,1
1：1 000倍叶面肥 2,促进,氨基酸,同时可以提高茶叶氨基酸含量，而茶多酚含量变化不大,喷施叶面肥对春茶产量及品质的影响,春茶,1
1：1 000倍叶面肥 2,无影响,茶多酚,同时可以提高茶叶氨基酸含量，而茶多酚含量变化不大,喷施叶面肥对春茶产量及品质的影响,春茶,1
1：1 000倍叶面肥 2,促进,氮,此外，在采摘前中期，施用叶面肥 1 和叶面肥 3 可适当促进茶树对氮、磷、钾的吸收。,喷施叶面肥对春茶产量及品质的影响,春茶,1
1：1 000倍叶面肥 2,促进,钾,此外，在采摘前中期，施用叶面肥 1 和叶面肥 7 可适当促进茶树对氮、磷、钾的吸收。,喷施叶面肥对春茶产量及品质的影响,春茶,1
1：1 000倍叶面肥 2,促进,磷,此外，在采摘前中期，施用叶面肥 1 和叶面肥 5 可适当促进茶树对氮、磷、钾的吸收。,喷施叶面肥对春茶产量及品质的影响,春茶,1
50%施氮量,促进,可溶性蛋白,与NL相比，50%NL显著降低了无蚜茶苗叶片SPs（-15.90%）、SSs（-68.95%）和FFAs（-23.58%）含量，70%NL也显著降低了无蚜茶苗叶片SSs含量（-39.24%）(P<0.05；图3A)，而50%NL显著提高了叶片SPs（+40.89%）、SSs（+89.81%）和FAAs含量，蚜虫侵染显著增加（+42.96%）,"Infuence of?reduced N-fertilizer application 
on?foliar chemicals and?functional qualities 
of?tea plants under?Toxoptera?aurantii infestation",龙井茶,1
50%施氮量,促进,可溶性糖,与NL相比，50%NL显著降低了无蚜茶苗叶片SPs（-15.90%）、SSs（-68.95%）和FFAs（-23.58%）含量，70%NL也显著降低了无蚜茶苗叶片SSs含量（-39.24%）(P<0.05；图3A)，而50%NL显著提高了叶片SPs（+40.89%）、SSs（+89.81%）和FAAs含量，蚜虫侵染显著增加（+42.97%）,"Infuence of?reduced N-fertilizer application 
on?foliar chemicals and?functional qualities 
of?tea plants under?Toxoptera?aurantii infestation",龙井茶,1
50%施氮量,促进,游离脂肪酸,与NL相比，50%NL显著降低了无蚜茶苗叶片SPs（-15.90%）、SSs（-68.95%）和FFAs（-23.58%）含量，70%NL也显著降低了无蚜茶苗叶片SSs含量（-39.24%）(P<0.05；图3A)，而50%NL显著提高了叶片SPs（+40.89%）、SSs（+89.81%）和FAAs含量，蚜虫侵染显著增加（+42.98%）,"Infuence of?reduced N-fertilizer application 
on?foliar chemicals and?functional qualities 
of?tea plants under?Toxoptera?aurantii infestation",龙井茶,1
Sesbania cannabina 间作,促进,氨基酸,SC间作提高了茶叶氨基酸含量、土壤有机碳（SOC）、酸性磷酸酶（ACP）、酸性蛋白酶（ACPT）和细菌多样性。,The Effect of Intercropping with Different Leguminous Green Manures on the Soil Environment and Tea Quality in Tea Plantations,湖南绿茶,1
γ-氨基丁酸,促进,苦略甜,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
氨基酸,促进,鲜爽,气温低时，氨基酸、蛋白质及一些含氮化合物增 加，形成了茶叶鲜爽的滋味特点。 ,山东绿茶品质的影响因素分析,山东绿茶/通用,1
苯丙氨酸 ,促进,甜略苦,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
丙氨酸 ,促进,甜,表9 遮荫处理下鲜叶的游离氨基酸组分分析,四川茶区遮荫栽培对绿茶产量及制茶品质的综合影响,通用,1
